,price_type,metric_code,study_number,location_type,adjustment_index,adjusted,sale_type,frequency,date,rand_millions,datetime
166,Current prices,C64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,other,MONTHLY,10-2005,0.3,2005-10-01
167,Current prices,D64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,total,MONTHLY,10-2005,460.6,2005-10-01
168,Current prices,A64209_SEAS,P6420,Catering,,Seasonally adjusted,food,MONTHLY,10-2005,341.9,2005-10-01
169,Current prices,B64209_SEAS,P6420,Catering,,Seasonally adjusted,bar,MONTHLY,10-2005,43.6,2005-10-01
170,Current prices,C64209_SEAS,P6420,Catering,,Seasonally adjusted,other,MONTHLY,10-2005,71.5,2005-10-01
171,Current prices,D64209_SEAS,P6420,Catering,,Seasonally adjusted,total,MONTHLY,10-2005,457.1,2005-10-01
172,Current prices,A64200_SEAS,P6420,Total industry,,Seasonally adjusted,food,MONTHLY,10-2005,1775.1,2005-10-01
173,Current prices,B64200_SEAS,P6420,Total industry,,Seasonally adjusted,bar,MONTHLY,10-2005,175.2,2005-10-01
174,Current prices,C64200_SEAS,P6420,Total industry,,Seasonally adjusted,other,MONTHLY,10-2005,82.0,2005-10-01
175,Current prices,D64200_SEAS,P6420,Total industry,,Seasonally adjusted,total,MONTHLY,10-2005,2032.2,2005-10-01
176,Constant prices,A64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,food,MONTHLY,10-2005,,2005-10-01
177,Constant prices,B64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,bar,MONTHLY,10-2005,,2005-10-01
178,Constant prices,C64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,other,MONTHLY,10-2005,,2005-10-01
179,Constant prices,D64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,total,MONTHLY,10-2005,,2005-10-01
180,Constant prices,A64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,food,MONTHLY,10-2005,,2005-10-01
181,Constant prices,B64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,bar,MONTHLY,10-2005,,2005-10-01
182,Constant prices,C64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,other,MONTHLY,10-2005,,2005-10-01
183,Constant prices,D64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,total,MONTHLY,10-2005,,2005-10-01
184,Constant prices,A64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,food,MONTHLY,10-2005,,2005-10-01
185,Constant prices,B64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,bar,MONTHLY,10-2005,,2005-10-01
186,Constant prices,C64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,other,MONTHLY,10-2005,,2005-10-01
187,Constant prices,D64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,total,MONTHLY,10-2005,,2005-10-01
188,Constant prices,A64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,food,MONTHLY,10-2005,,2005-10-01
189,Constant prices,B64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,bar,MONTHLY,10-2005,,2005-10-01
190,Constant prices,C64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,other,MONTHLY,10-2005,,2005-10-01
191,Constant prices,D64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,total,MONTHLY,10-2005,,2005-10-01
192,Current prices,A64201,P6420,Restaurants and coffee shops,,Actual figures,food,MONTHLY,11-2005,1042.9,2005-11-01
193,Current prices,B64201,P6420,Restaurants and coffee shops,,Actual figures,bar,MONTHLY,11-2005,156.0,2005-11-01
194,Current prices,C64201,P6420,Restaurants and coffee shops,,Actual figures,other,MONTHLY,11-2005,15.7,2005-11-01
195,Current prices,D64201,P6420,Restaurants and coffee shops,,Actual figures,total,MONTHLY,11-2005,1214.6,2005-11-01
196,Current prices,A64203,P6420,Take-away and fast food,,Actual figures,food,MONTHLY,11-2005,472.9,2005-11-01
197,Current prices,B64203,P6420,Take-away and fast food,,Actual figures,bar,MONTHLY,11-2005,1.3,2005-11-01
198,Current prices,C64203,P6420,Take-away and fast food,,Actual figures,other,MONTHLY,11-2005,0.2,2005-11-01
199,Current prices,D64203,P6420,Take-away and fast food,,Actual figures,total,MONTHLY,11-2005,474.4,2005-11-01
200,Current prices,A64209,P6420,Catering,,Actual figures,food,MONTHLY,11-2005,386.1,2005-11-01
201,Current prices,B64209,P6420,Catering,,Actual figures,bar,MONTHLY,11-2005,45.3,2005-11-01
202,Current prices,C64209,P6420,Catering,,Actual figures,other,MONTHLY,11-2005,59.6,2005-11-01
203,Current prices,D64209,P6420,Catering,,Actual figures,total,MONTHLY,11-2005,491.0,2005-11-01
204,Current prices,A64200,P6420,Total industry,,Actual figures,food,MONTHLY,11-2005,1901.9,2005-11-01
205,Current prices,B64200,P6420,Total industry,,Actual figures,bar,MONTHLY,11-2005,202.6,2005-11-01
206,Current prices,C64200,P6420,Total industry,,Actual figures,other,MONTHLY,11-2005,75.5,2005-11-01
